pairs	Predictions	Scores
MG592399.1:Vibrio sp. 10N.3	0	0
MG592399.1:Vibrio sp. 10N.4	0	0
MG592399.1:Vibrio sp. 10N.5	0	0
MG592399.1:Vibrio sp. F12	0	0
MG592399.1:Vibrio sp. F13	0	0
MG592399.1:Vibrio splendidus	0	0
MG592399.1:Vibrio tasmaniensis	0	0
MG592399.1:Vibrio vulnificus	0	0
MG592400.1:Aliivibrio fischeri	0	0
MG592400.1:Enterovibrio norvegicus	0	0
MG592400.1:Shewanella sp. 10N.6	0	0
MG592400.1:Shewanella sp. 10N.7	0	0
MG592400.1:Vibrio alginolyticus	0	0
MG592400.1:Vibrio anguillarum	0	0
MG592400.1:Vibrio breoganii	0	0
MG592400.1:Vibrio cyclitrophicus	0	0
MG592400.1:Vibrio kanaloae	0	0
MG592400.1:Vibrio lentus	1	1
MG592400.1:Vibrio parahaemolyticus	0	0
MG592400.1:Vibrio sp. 10N.1	0	0
MG592400.1:Vibrio sp. 10N.2	0	0
MG592400.1:Vibrio sp. 10N.3	0	0
MG592400.1:Vibrio sp. 10N.4	0	0
MG592400.1:Vibrio sp. 10N.5	0	0
MG592400.1:Vibrio sp. F12	0	0
MG592400.1:Vibrio sp. F13	0	0
MG592400.1:Vibrio splendidus	0	0
MG592400.1:Vibrio tasmaniensis	0	0
MG592400.1:Vibrio vulnificus	0	0
MG592401.1:Aliivibrio fischeri	0	0
MG592401.1:Enterovibrio norvegicus	0	0
MG592401.1:Shewanella sp. 10N.6	0	0
MG592401.1:Shewanella sp. 10N.7	0	0
MG592401.1:Vibrio alginolyticus	0	0
MG592401.1:Vibrio anguillarum	0	0
MG592401.1:Vibrio breoganii	0	0
MG592401.1:Vibrio cyclitrophicus	0	0
MG592401.1:Vibrio kanaloae	0	0
MG592401.1:Vibrio lentus	0	0
MG592401.1:Vibrio parahaemolyticus	0	0
MG592401.1:Vibrio sp. 10N.1	0	0
MG592401.1:Vibrio sp. 10N.2	0	0
MG592401.1:Vibrio sp. 10N.3	0	0
MG592401.1:Vibrio sp. 10N.4	0	0
MG592401.1:Vibrio sp. 10N.5	0	0
MG592401.1:Vibrio sp. F12	1	1
MG592401.1:Vibrio sp. F13	0	0
MG592401.1:Vibrio splendidus	1	1
MG592401.1:Vibrio tasmaniensis	0	0
MG592401.1:Vibrio vulnificus	0	0
MG592402.1:Aliivibrio fischeri	0	0
MG592402.1:Enterovibrio norvegicus	0	0
MG592402.1:Shewanella sp. 10N.6	0	0
MG592402.1:Shewanella sp. 10N.7	0	0
MG592402.1:Vibrio alginolyticus	0	0
MG592402.1:Vibrio anguillarum	0	0
MG592402.1:Vibrio breoganii	0	0
MG592402.1:Vibrio cyclitrophicus	0	0
MG592402.1:Vibrio kanaloae	0	0
MG592402.1:Vibrio lentus	1	1
MG592402.1:Vibrio parahaemolyticus	0	0
MG592402.1:Vibrio sp. 10N.1	0	0
MG592402.1:Vibrio sp. 10N.2	0	0
MG592402.1:Vibrio sp. 10N.3	0	0
MG592402.1:Vibrio sp. 10N.4	0	0
MG592402.1:Vibrio sp. 10N.5	0	0
MG592402.1:Vibrio sp. F12	0	0
MG592402.1:Vibrio sp. F13	0	0
MG592402.1:Vibrio splendidus	0	0
MG592402.1:Vibrio tasmaniensis	1	1
MG592402.1:Vibrio vulnificus	0	0
MG592403.1:Aliivibrio fischeri	0	0
MG592403.1:Enterovibrio norvegicus	0	0
MG592403.1:Shewanella sp. 10N.6	0	0
MG592403.1:Shewanella sp. 10N.7	0	0
MG592403.1:Vibrio alginolyticus	0	0
MG592403.1:Vibrio anguillarum	0	0
MG592403.1:Vibrio breoganii	0	0
MG592403.1:Vibrio cyclitrophicus	0	0
MG592403.1:Vibrio kanaloae	0	0
MG592403.1:Vibrio lentus	0	0
MG592403.1:Vibrio parahaemolyticus	0	0
MG592403.1:Vibrio sp. 10N.1	0	0
MG592403.1:Vibrio sp. 10N.2	0	0
MG592403.1:Vibrio sp. 10N.3	0	0
MG592403.1:Vibrio sp. 10N.4	0	0
MG592403.1:Vibrio sp. 10N.5	0	0
MG592403.1:Vibrio sp. F12	0	0
MG592403.1:Vibrio sp. F13	0	0
MG592403.1:Vibrio splendidus	1	1
MG592403.1:Vibrio tasmaniensis	0	0
MG592403.1:Vibrio vulnificus	0	0
MG592406.1:Aliivibrio fischeri	0	0
MG592406.1:Enterovibrio norvegicus	0	0
MG592406.1:Shewanella sp. 10N.6	0	0
MG592406.1:Shewanella sp. 10N.7	0	0
MG592406.1:Vibrio alginolyticus	0	0
MG592406.1:Vibrio anguillarum	0	0
MG592406.1:Vibrio breoganii	0	0
MG592406.1:Vibrio cyclitrophicus	0	0
MG592406.1:Vibrio kanaloae	0	0
MG592406.1:Vibrio lentus	0	0
MG592406.1:Vibrio parahaemolyticus	0	0
MG592406.1:Vibrio sp. 10N.1	0	0
MG592406.1:Vibrio sp. 10N.2	0	0
MG592406.1:Vibrio sp. 10N.3	0	0
MG592406.1:Vibrio sp. 10N.4	0	0
MG592406.1:Vibrio sp. 10N.5	0	0
MG592406.1:Vibrio sp. F12	0	0
MG592406.1:Vibrio sp. F13	0	0
MG592406.1:Vibrio splendidus	1	1
MG592406.1:Vibrio tasmaniensis	0	0
MG592406.1:Vibrio vulnificus	0	0
MG592407.1:Aliivibrio fischeri	0	0
MG592407.1:Enterovibrio norvegicus	0	0
MG592407.1:Shewanella sp. 10N.6	0	0
MG592407.1:Shewanella sp. 10N.7	0	0
MG592407.1:Vibrio alginolyticus	0	0
MG592407.1:Vibrio anguillarum	0	0
MG592407.1:Vibrio breoganii	0	0
MG592407.1:Vibrio cyclitrophicus	0	0
MG592407.1:Vibrio kanaloae	0	0
MG592407.1:Vibrio lentus	0	0
MG592407.1:Vibrio parahaemolyticus	0	0
MG592407.1:Vibrio sp. 10N.1	0	0
MG592407.1:Vibrio sp. 10N.2	0	0
MG592407.1:Vibrio sp. 10N.3	0	0
MG592407.1:Vibrio sp. 10N.4	0	0
MG592407.1:Vibrio sp. 10N.5	0	0
MG592407.1:Vibrio sp. F12	0	0
MG592407.1:Vibrio sp. F13	0	0
MG592407.1:Vibrio splendidus	1	1
MG592407.1:Vibrio tasmaniensis	0	0
MG592407.1:Vibrio vulnificus	0	0
MG592408.1:Aliivibrio fischeri	0	0
MG592408.1:Enterovibrio norvegicus	0	0
MG592408.1:Shewanella sp. 10N.6	0	0
MG592408.1:Shewanella sp. 10N.7	0	0
MG592408.1:Vibrio alginolyticus	0	0
MG592408.1:Vibrio anguillarum	0	0
MG592408.1:Vibrio breoganii	0	0
MG592408.1:Vibrio cyclitrophicus	0	0
MG592408.1:Vibrio kanaloae	0	0
MG592408.1:Vibrio lentus	1	1
MG592408.1:Vibrio parahaemolyticus	0	0
MG592408.1:Vibrio sp. 10N.1	0	0
MG592408.1:Vibrio sp. 10N.2	0	0
MG592408.1:Vibrio sp. 10N.3	0	0
MG592408.1:Vibrio sp. 10N.4	0	0
MG592408.1:Vibrio sp. 10N.5	0	0
MG592408.1:Vibrio sp. F12	0	0
MG592408.1:Vibrio sp. F13	0	0
MG592408.1:Vibrio splendidus	0	0
MG592408.1:Vibrio tasmaniensis	0	0
MG592408.1:Vibrio vulnificus	0	0
MG592409.1:Aliivibrio fischeri	0	0
MG592409.1:Enterovibrio norvegicus	0	0
MG592409.1:Shewanella sp. 10N.6	0	0
MG592409.1:Shewanella sp. 10N.7	0	0
MG592409.1:Vibrio alginolyticus	0	0
MG592409.1:Vibrio anguillarum	0	0
MG592409.1:Vibrio breoganii	0	0
MG592409.1:Vibrio cyclitrophicus	0	0
MG592409.1:Vibrio kanaloae	0	0
MG592409.1:Vibrio lentus	0	0
MG592409.1:Vibrio parahaemolyticus	0	0
MG592409.1:Vibrio sp. 10N.1	0	0
MG592409.1:Vibrio sp. 10N.2	0	0
MG592409.1:Vibrio sp. 10N.3	0	0
MG592409.1:Vibrio sp. 10N.4	0	0
MG592409.1:Vibrio sp. 10N.5	0	0
MG592409.1:Vibrio sp. F12	0	0
MG592409.1:Vibrio sp. F13	0	0
MG592409.1:Vibrio splendidus	1	1
MG592409.1:Vibrio tasmaniensis	0	0
MG592409.1:Vibrio vulnificus	0	0
MG592410.1:Aliivibrio fischeri	0	0
MG592410.1:Enterovibrio norvegicus	0	0
MG592410.1:Shewanella sp. 10N.6	0	0
MG592410.1:Shewanella sp. 10N.7	0	0
MG592410.1:Vibrio alginolyticus	0	0
MG592410.1:Vibrio anguillarum	0	0
MG592410.1:Vibrio breoganii	0	0
MG592410.1:Vibrio cyclitrophicus	0	0
MG592410.1:Vibrio kanaloae	0	0
MG592410.1:Vibrio lentus	0	0
MG592410.1:Vibrio parahaemolyticus	0	0
MG592410.1:Vibrio sp. 10N.1	0	0
MG592410.1:Vibrio sp. 10N.2	0	0
MG592410.1:Vibrio sp. 10N.3	0	0
MG592410.1:Vibrio sp. 10N.4	0	0
MG592410.1:Vibrio sp. 10N.5	0	0
MG592410.1:Vibrio sp. F12	0	0
MG592410.1:Vibrio sp. F13	0	0
MG592410.1:Vibrio splendidus	1	1
MG592410.1:Vibrio tasmaniensis	0	0
MG592410.1:Vibrio vulnificus	0	0
MG592411.1:Aliivibrio fischeri	0	0
MG592411.1:Enterovibrio norvegicus	0	0
MG592411.1:Shewanella sp. 10N.6	0	0
MG592411.1:Shewanella sp. 10N.7	0	0
MG592411.1:Vibrio alginolyticus	0	0
MG592411.1:Vibrio anguillarum	0	0
MG592411.1:Vibrio breoganii	0	0
MG592411.1:Vibrio cyclitrophicus	0	0
MG592411.1:Vibrio kanaloae	0	0
MG592411.1:Vibrio lentus	1	1
MG592411.1:Vibrio parahaemolyticus	0	0
MG592411.1:Vibrio sp. 10N.1	0	0
MG592411.1:Vibrio sp. 10N.2	0	0
MG592411.1:Vibrio sp. 10N.3	0	0
MG592411.1:Vibrio sp. 10N.4	0	0
MG592411.1:Vibrio sp. 10N.5	0	0
MG592411.1:Vibrio sp. F12	0	0
MG592411.1:Vibrio sp. F13	0	0
MG592411.1:Vibrio splendidus	0	0
MG592411.1:Vibrio tasmaniensis	0	0
MG592411.1:Vibrio vulnificus	0	0
MG592412.1:Aliivibrio fischeri	0	0
MG592412.1:Enterovibrio norvegicus	0	0
MG592412.1:Shewanella sp. 10N.6	0	0
MG592412.1:Shewanella sp. 10N.7	0	0
MG592412.1:Vibrio alginolyticus	0	0
MG592412.1:Vibrio anguillarum	0	0
MG592412.1:Vibrio breoganii	0	0
MG592412.1:Vibrio cyclitrophicus	0	0
MG592412.1:Vibrio kanaloae	0	0
MG592412.1:Vibrio lentus	0	0
MG592412.1:Vibrio parahaemolyticus	0	0
MG592412.1:Vibrio sp. 10N.1	1	1
MG592412.1:Vibrio sp. 10N.2	0	0
MG592412.1:Vibrio sp. 10N.3	0	0
MG592412.1:Vibrio sp. 10N.4	0	0
MG592412.1:Vibrio sp. 10N.5	0	0
