Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_309414.fasta,0.010637955281740434,3.7469135081704683e-06,0.4947242206235012
SM,235560,Contig_60809.fasta,0.011962112094022955,4.761858732179328e-06,0.49662975445353874
SM,235560,Contig_55579.fasta,0.014501336689152357,7.474416761097013e-06,0.49903241412675375
SM,235560,Contig_134354.fasta,0.013135323344551121,6.050501091794977e-06,0.496868978805395
SM,235560,Contig_302825.fasta,0.01869928566013006,1.225321681665815e-05,0.4997577519379845
SM,235560,Contig_543384.fasta,0.011790812339309242,4.934094031411562e-06,0.49710843373493974
SM,235560,Contig_553243.fasta,0.017227111218182368,1.0451790373556485e-05,0.4997577519379845
SM,235560,Contig_985177.fasta,0.018436205990521527,1.2396882349836075e-05,0.5002424830261881
SM,235560,Contig_551170.fasta,0.014629716777882322,7.339636236801791e-06,0.49830917874396136
SM,235560,Contig_544200.fasta,0.015890368938374512,8.842996083546731e-06,0.49951573849878933
SM,235560,Contig_1066727.fasta,0.01589420628368013,8.828643697848036e-06,0.49951573849878933
SM,235560,Contig_623419.fasta,0.015863691207486163,8.727249959090154e-06,0.49879110251450676
SM,235560,Contig_54254.fasta,0.013237118379529752,6.06274409376595e-06,0.49806856591018833
SM,235560,Contig_53744.fasta,0.011880027827425152,4.821634924334459e-06,0.4956751561749159
SM,235560,Contig_548820.fasta,0.013396053682682745,5.930009958221936e-06,0.49782818532818535
SM,235560,Contig_422193.fasta,0.01603947125457225,8.681597749939937e-06,0.49903241412675375
SM,235560,Contig_56712.fasta,0.013151763860698029,6.094951829628347e-06,0.49758803666184276
SM,235560,Contig_56757.fasta,0.01978033188461915,1.421514276809192e-05,0.5004852013585638
SM,235560,Contig_1833.fasta,0.015890776988238858,8.89545649571404e-06,0.49951573849878933
SM,235560,Contig_542648.fasta,0.01594005322819277,8.835997574434565e-06,0.49951573849878933
SM,235560,Contig_372026.fasta,0.015721412484485303,8.948188760256244e-06,0.49855002416626387
SM,235560,Contig_370350.fasta,0.01445257295793879,7.488889868967782e-06,0.49903241412675375
SM,235560,Contig_985396.fasta,0.01579610998250864,8.932921603816528e-06,0.49927395934172314
SM,235560,Contig_543120.fasta,0.015921903678167912,8.82774207634324e-06,0.49879110251450676
SM,235560,Contig_992741.fasta,0.0145537399891822,7.420129238115277e-06,0.49855002416626387
SM,235560,Contig_54798.fasta,0.013223399642856416,6.060377810418073e-06,0.49782818532818535
SM,235560,Contig_554998.fasta,0.010465534842874298,3.75999688478728e-06,0.4940134099616858
SM,235560,Contig_542549.fasta,0.013255558299587569,5.976914563417097e-06,0.49830917874396136
SM,235560,Contig_1125670.fasta,0.014584347623545733,7.493881181198778e-06,0.49855002416626387
SM,235560,Contig_57456.fasta,0.016016208443134904,8.74972434982881e-06,0.49951573849878933
SM,235560,Contig_420791.fasta,0.01858464003878769,1.2358751504661998e-05,0.5002424830261881
SM,235560,Contig_304002.fasta,0.013172194424424495,5.965662719092398e-06,0.496868978805395
SM,235560,Contig_304047.fasta,0.017275588153736678,1.0272156641631872e-05,0.49903241412675375
SM,235560,Contig_60914.fasta,0.009123390121711908,2.827181133188912e-06,0.49002375296912115
SM,235560,Contig_369593.fasta,0.01325909243721095,6.002838125007792e-06,0.49782818532818535
SM,235560,Contig_132330.fasta,0.013243877910020053,6.139421044615245e-06,0.49806856591018833
