Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,concatenated_49640_vRhyme_bin_393.fasta,0.001298498613965169,0.0,0.3181588340145216,CM
,394190,49640--k141_106094||full.fasta,0.00671880129160461,1.3768719251602863e-05,0.43470036158226344,CM
,394190,concatenated_49620_vRhyme_bin_44.fasta,0.0037970635253870458,1.1094417286687374e-11,0.37271284517092024,CM
,394190,49623--k141_224035||full.fasta,0.007331448809559689,3.7282823709022203e-06,0.3149001457827061,CM
,394190,concatenated_49620_vRhyme_bin_65.fasta,0.007385259126858815,4.8846873718190275e-06,0.35859578315819374,CM
,394190,49618--k141_536759||full.fasta,0.00828191249208467,3.7556082297255495e-05,0.4550639857534322,CM
,394190,49617--k141_43341||full.fasta,0.004220236380182733,1.2160098365262462e-05,0.43814909727982343,CM
,394190,49617--k141_216471||full.fasta,0.014457695562777284,7.716038533702505e-05,0.4682097229978991,CM
,394190,49617--k141_25307||full.fasta,0.014925903025431796,3.07309422360895e-05,0.44930498389982954,CM
,394190,concatenated_49640_vRhyme_bin_535.fasta,0.0031200632538097243,5.549752205103479e-06,0.4310561293105613,CM
,394190,49614--k141_260417||full.fasta,0.00671880129160461,1.3768719251602863e-05,0.43470036158226344,CM
,394190,49620--k141_40976||full.fasta,0.0075622689404439055,4.6950137128113134e-05,0.47198889461662075,CM
,394190,49623--k141_115383||full.fasta,0.017774336342348387,0.00011903898688836597,0.4807385879963115,CM
,394190,49640--k141_164296.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,concatenated_49623_vRhyme_bin_166.fasta,0.00628250823169781,1.1988939976879888e-05,0.44067407914815193,CM
,394190,concatenated_49617_vRhyme_bin_2.fasta,0.0031200632538097243,5.549752205103479e-06,0.4310561293105613,CM
,394190,concatenated_49640_vRhyme_bin_238.fasta,0.007723216131712103,9.11799078111766e-06,0.4374421460410881,CM
,394190,49618--k141_620269||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49623--k141_969||full.fasta,0.0075622689404439055,4.6950137128113134e-05,0.47198889461662075,CM
,394190,concatenated_49620_vRhyme_bin_26.fasta,0.005095562139352214,7.27025620114423e-06,0.420540341343174,CM
,394190,49617--k141_103059||full.fasta,0.007924860295766556,1.925819189220532e-05,0.45997714670087425,CM
,394190,49640--k141_9453||full.fasta,0.007723216131712103,9.11799078111766e-06,0.4374421460410881,CM
,394190,49620--k141_36098||full.fasta,0.008736943457210542,2.0968720211039112e-05,0.44534634968044773,CM
,394190,concatenated_49614_vRhyme_bin_42.fasta,0.012155708177116784,5.102028655590836e-05,0.4138868684525874,CM
,394190,49620--k141_23063||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49617--k141_206234||full.fasta,0.008467061482148193,5.557822146789371e-05,0.47742925328345764,CM
,394190,concatenated_49617_vRhyme_bin_74.fasta,0.009075156916977361,3.375560184975044e-05,0.46412914646877573,CM
,394190,49640--k141_71007||full.fasta,0.015830695567136083,3.566674884913095e-05,0.4516183585424575,CM
,394190,49640--k141_159740||full.fasta,0.0037970635253870458,1.1094417286687374e-11,0.37271284517092024,CM
,394190,49617--k141_57162||full.fasta,0.0037652054150568597,2.3121648164071444e-05,0.4565967741920108,CM
,394190,49617--k141_2715||lt2gene.fasta,0.010954791938103975,2.9857397241217848e-05,0.462330335731357,CM
,394190,concatenated_49618_vRhyme_bin_14.fasta,0.0,0.0,0.0,CM
,394190,49640--k141_35051||full.fasta,0.007776658303012193,1.8117116160854274e-05,0.44574573359765607,CM
,394190,49623--k141_65876||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49640--k141_32064||full.fasta,0.008368358292959238,3.751551154422064e-05,0.4550639857534322,CM
,394190,49640--k141_81998||full.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,49620--k141_54213_1.fasta,0.0075622689404439055,4.6950137128113134e-05,0.47198889461662075,CM
,394190,49620--k141_180042||full.fasta,0.0075622689404439055,4.6950137128113134e-05,0.47198889461662075,CM
,394190,concatenated_49617_vRhyme_bin_280.fasta,0.004442205686634182,1.3485396972370849e-05,0.40473119775193295,CM
,394190,49640--k141_234666||full.fasta,0.005095562139352214,7.27025620114423e-06,0.420540341343174,CM
,394190,concatenated_49623_vRhyme_bin_27.fasta,0.002466706801091691,8.31833246080146e-06,0.408053886657333,CM
,394190,49623--k141_178289||full.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,49640--k141_186978||full.fasta,0.008593067195074957,1.368575440815995e-05,0.4464129676873166,CM
,394190,49617--k141_87231||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49640--k141_162193||full.fasta,0.015830695567136083,3.566674884913095e-05,0.4516183585424575,CM
,394190,concatenated_49640_vRhyme_bin_39.fasta,0.0018215646398445549,0.0,0.37939848999874287,CM
,394190,49617--k141_162699||full.fasta,0.007974983790604353,2.0292679531760083e-05,0.4611150878446259,CM
,394190,concatenated_49640_vRhyme_bin_38.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49617--k141_194030||full.fasta,0.00574070430059935,3.000920557726431e-05,0.45052675136114784,CM
,394190,concatenated_49617_vRhyme_bin_285.fasta,0.005618628165231601,3.0728579793611337e-06,0.4211341990588319,CM
,394190,49640--k141_155711_1.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49623--k141_9609||full.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,concatenated_49623_vRhyme_bin_209.fasta,0.0060003546810565005,1.0422529217603386e-05,0.4272887500014497,CM
,394190,49640--k141_109185||lt2gene.fasta,0.0018215646398445549,0.0,0.37939848999874287,CM
,394190,concatenated_49623_vRhyme_bin_44.fasta,0.004177920265217308,7.95276042070988e-06,0.4394403345811712,CM
,394190,49640--k141_60136||full.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,49616--k141_379221||full.fasta,0.016762546865616897,0.00011239294766694609,0.4805836484787879,CM
,394190,49617--k141_166551||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49618--k141_219600||full.fasta,0.001298498613965169,0.0,0.3181588340145216,CM
,394190,49640--k141_180914||lt2gene.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49623--k141_147088||full.fasta,0.01118489940917026,2.200645725412777e-05,0.4325566510457783,CM
,394190,49640--k141_39740||full.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,49640--k141_184482||full.fasta,0.015830695567136083,3.566674884913095e-05,0.4516183585424575,CM
,394190,49640--k141_1923||full.fasta,0.00801729990556978,2.8642771739974603e-05,0.460830075042126,CM
,394190,concatenated_49620_vRhyme_bin_131.fasta,0.012097713922690786,3.5258356882265615e-05,0.46290443626466715,CM
,394190,49623--k141_52755||full.fasta,0.0075622689404439055,4.6950137128113134e-05,0.47198889461662075,CM
,394190,concatenated_49640_vRhyme_bin_36.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,49620--k141_160630||full.fasta,0.010650108423642064,1.806663322485731e-05,0.4454128639586466,CM
,394190,49640--k141_158470||lt2gene.fasta,0.004442205686634182,1.3485396972370849e-05,0.40473119775193295,CM
