Virus,Host
49631--k141_175061||full.fasta,concatenated_Sample_49632_5.1.fasta
49631--k141_175061||full.fasta,concatenated_Sample_49624_46.fasta
49631--k141_175061||full.fasta,concatenated_Sample_49625_12.fasta
49631--k141_175061||full.fasta,concatenated_Sample_49628_55.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49632_5.1.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49624_12.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49624_46.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49628_11.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49624_47.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49625_6.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49624_8.fasta
49635--k141_215408||full.fasta,concatenated_Sample_49632_27.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49632_5.1.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49624_12.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49624_46.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49628_11.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49624_51.1.fasta
concatenated_49627_vRhyme_bin_73.fasta,concatenated_Sample_49632_27.fasta
49641--k141_31479||full.fasta,concatenated_Sample_49632_5.1.fasta
49641--k141_31479||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_31479||full.fasta,concatenated_Sample_49624_8.fasta
49627--k141_82751||full.fasta,concatenated_Sample_49624_47.fasta
49627--k141_82751||full.fasta,concatenated_Sample_49625_6.fasta
49627--k141_82751||full.fasta,concatenated_Sample_49624_8.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49632_5.1.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49624_12.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49628_11.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49624_47.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49624_51.1.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49625_6.fasta
49627--k141_114347||full.fasta,concatenated_49625-contigs.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49624_23.fasta
49627--k141_114347||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49624_47.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49624_23.fasta
49641--k141_32975||full.fasta,concatenated_Sample_49624_8.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49632_5.1.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49624_12.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49624_46.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49628_11.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49625_6.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49624_8.fasta
49631--k141_110600||full.fasta,concatenated_Sample_49632_27.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49632_5.1.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_124951||full.fasta,concatenated_Sample_49632_27.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49632_12.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49632_5.1.fasta
49631--k141_69477||full.fasta,concatenated_49633-contigs.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49624_12.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49624_46.fasta
49631--k141_69477||full.fasta,concatenated_49628-contigs.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49628_11.fasta
49631--k141_69477||full.fasta,concatenated_49624-contigs.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49624_47.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49624_51.1.fasta
49631--k141_69477||full.fasta,concatenated_49627-contigs.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49625_6.fasta
49631--k141_69477||full.fasta,concatenated_49626-contigs.fasta
49631--k141_69477||full.fasta,concatenated_49625-contigs.fasta
49631--k141_69477||full.fasta,concatenated_49629-contigs.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49624_8.fasta
49631--k141_69477||full.fasta,concatenated_Sample_49632_27.fasta
