Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 199,3330,58.427570825161084
CM,Null iteration 200,3330,57.66166797967469
CM,Null iteration 201,3330,56.90140440490171
CM,Null iteration 202,3330,56.82750013421337
CM,Null iteration 203,3330,55.57128299158258
CM,Null iteration 204,3330,56.79074302726098
CM,Null iteration 205,3330,54.977625716912186
CM,Null iteration 206,3330,57.055154124915
CM,Null iteration 207,3330,57.67204115791522
CM,Null iteration 208,3330,57.03280392841951
CM,Null iteration 209,3330,58.42863374646294
CM,Null iteration 210,3330,56.3382076133591
CM,Null iteration 211,3330,58.011079392455464
CM,Null iteration 212,3330,56.57391195051397
CM,Null iteration 213,3330,58.03477659175775
CM,Null iteration 214,3330,57.24719373592562
CM,Null iteration 215,3330,56.35981949992781
CM,Null iteration 216,3330,57.06149856921425
CM,Null iteration 217,3330,57.5464882681129
CM,Null iteration 218,3330,56.27733402891399
CM,Null iteration 219,3330,57.6441272205773
CM,Null iteration 220,3330,58.29350653273457
CM,Null iteration 221,3330,57.15456552011331
CM,Null iteration 222,3330,56.88965749238588
CM,Null iteration 223,3330,58.25087340638001
CM,Null iteration 224,3330,55.79981124086312
CM,Null iteration 225,3330,56.647330781903165
CM,Null iteration 226,3330,55.18369533833974
CM,Null iteration 227,3330,56.277161304105555
CM,Null iteration 228,3330,55.19421732849975
CM,Null iteration 229,3330,57.668049745472274
CM,Null iteration 230,3330,56.929740276891934
CM,Null iteration 231,3330,57.51417577808121
CM,Null iteration 232,3330,56.63574832484758
CM,Null iteration 233,3330,56.74669430661268
CM,Null iteration 234,3330,57.3253476235767
CM,Null iteration 235,3330,58.328425855081235
CM,Null iteration 236,3330,57.69056153560622
CM,Null iteration 237,3330,56.14169656021331
CM,Null iteration 238,3330,58.81327698239904
CM,Null iteration 239,3330,56.60079423054184
CM,Null iteration 240,3330,56.88925177260252
CM,Null iteration 241,3330,58.40896013474251
CM,Null iteration 242,3330,56.37284905795596
CM,Null iteration 243,3330,57.38313861055828
CM,Null iteration 244,3330,56.77013504422146
CM,Null iteration 245,3330,57.48135609830082
CM,Null iteration 246,3330,56.864163959734555
CM,Null iteration 247,3330,57.56929478562936
CM,Null iteration 248,3330,56.0467549032419
CM,Null iteration 249,3330,55.179936070223
