Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,concatenated_49620_vRhyme_bin_279.fasta,0.004537956008633715,2.217211015121831e-06,0.45128127378632094,CM
,394190,49640--k141_78919||full.fasta,0.011762101571077628,1.7651630439704694e-05,0.4857340454605122,CM
,394190,49617--k141_79878||full.fasta,0.006905046376153968,5.574574963872553e-06,0.47074708665514525,CM
,394190,49617--k141_12932||full.fasta,0.007614784212108938,7.667491482550333e-06,0.47711892586774696,CM
,394190,concatenated_49640_vRhyme_bin_424.fasta,0.011197317289518515,1.5994526977975776e-05,0.4851193381341365,CM
,394190,49617--k141_160916||full.fasta,0.01616350794106959,3.266025415243735e-05,0.48867530810532134,CM
,394190,49623--k141_243597||full.fasta,0.005370227980656306,3.355666267254401e-06,0.4685891811467559,CM
,394190,49617--k141_36678||full.fasta,0.01246887390486504,2.108535625741178e-05,0.48689083051757465,CM
,394190,49620--k141_136827||full.fasta,0.016943311425340862,3.524833070192542e-05,0.4890649702599384,CM
,394190,concatenated_49640_vRhyme_bin_244.fasta,0.01259499551672864,1.8167444188042943e-05,0.48161474613505206,CM
,394190,49640--k141_16545||full.fasta,0.013252366576306211,2.2575413048806567e-05,0.4870454849543308,CM
,394190,49617--k141_14018||full.fasta,0.0026214374346650447,3.9545071013762013e-07,0.39608419709589204,CM
,394190,49617--k141_72012||full.fasta,0.00356289741666488,1.0773072414834048e-06,0.4412174514085237,CM
,394190,49640--k141_236248||full.fasta,0.016639776082709692,3.247021063229688e-05,0.4882085323593002,CM
,394190,49617--k141_118553||full.fasta,0.007170124458021998,6.9449137745735976e-06,0.4751230763056695,CM
,394190,concatenated_49623_vRhyme_bin_258.fasta,0.008689275166322143,9.592063279725e-06,0.481917481891246,CM
,394190,49640--k141_201266||full.fasta,0.006659943003727617,5.599384027312251e-06,0.4736554013460412,CM
,394190,49640--k141_131035||full.fasta,0.006121095289130415,4.559562337773181e-06,0.47183350965688803,CM
,394190,49620--k141_36260||full.fasta,0.015566590536341648,3.091124649014684e-05,0.48851961704738256,CM
,394190,concatenated_49618_vRhyme_bin_84.fasta,0.009512548125464988,1.124692258382436e-05,0.47838419717883846,CM
,394190,49640--k141_147958||full.fasta,0.006206394810196108,4.9706838991574785e-06,0.46995355084130624,CM
,394190,49623--k141_168932||full.fasta,0.005756545329159733,4.030971850732042e-06,0.4564533595318812,CM
,394190,49617--k141_140889||full.fasta,0.006150031464927577,4.331808297673814e-06,0.46995355084130624,CM
,394190,49640--k141_127482||full.fasta,0.00412716005492143,1.6472741211929722e-06,0.44687532182367123,CM
,394190,49619--k141_283963.fasta,0.007623587827936048,7.43800920265256e-06,0.47622981536065595,CM
,394190,49640--k141_200588||full.fasta,0.007893838142303761,8.469703905036774e-06,0.4815391216165414,CM
