Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,49640--k141_9453||full.fasta,0.010639411419823545,1.1467128001903646e-05,0.43819131185467514,CM
,394190,49620--k141_36098||full.fasta,0.010072585895286087,1.752639907671791e-05,0.4741680550467636,CM
,394190,concatenated_49614_vRhyme_bin_42.fasta,0.014161015856913536,6.374786178541949e-05,0.48658181610709145,CM
,394190,49620--k141_23063||full.fasta,0.006098751977913065,1.3326455645306214e-05,0.4444144476508867,CM
,394190,49617--k141_206234||full.fasta,0.004340941231918978,7.891391915559704e-06,0.41472471377577175,CM
,394190,concatenated_49617_vRhyme_bin_74.fasta,0.0036671678699262203,5.693778507201756e-09,0.38625630027268015,CM
,394190,49640--k141_71007||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,49640--k141_159740||full.fasta,0.014306579289749762,2.6824092171299523e-05,0.4670192486126466,CM
,394190,49617--k141_57162||full.fasta,0.007187323999330235,3.548384703328881e-06,0.45002302384840326,CM
,394190,49617--k141_2715||lt2gene.fasta,0.011120792347338135,5.135129427193579e-05,0.4862731936914206,CM
,394190,concatenated_49618_vRhyme_bin_14.fasta,0.006103286615328905,1.3763512264575236e-05,0.44982499391491654,CM
,394190,49640--k141_35051||full.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49623--k141_65876||full.fasta,0.0054249786159203065,1.1646624889997845e-06,0.4254258023187825,CM
,394190,49640--k141_32064||full.fasta,0.014037849496519397,2.30321316309221e-05,0.46952183970220374,CM
,394190,49640--k141_81998||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,49620--k141_54213_1.fasta,0.0024315841079868444,4.276095019254062e-06,0.41006644327270764,CM
,394190,49620--k141_180042||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,concatenated_49617_vRhyme_bin_280.fasta,0.011400924670620234,1.521575572337785e-05,0.4661673475739065,CM
,394190,49640--k141_234666||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,concatenated_49623_vRhyme_bin_27.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,49623--k141_178289||full.fasta,0.006103286615328905,1.3763512264575236e-05,0.44982499391491654,CM
,394190,49640--k141_186978||full.fasta,0.011004682658157388,2.1034699609169762e-05,0.474681819675713,CM
,394190,49617--k141_87231||full.fasta,0.011498750321970517,1.4576604577432221e-05,0.45706563768014663,CM
,394190,49640--k141_162193||full.fasta,0.007992248387145148,5.765322860546494e-06,0.4591184813256896,CM
,394190,concatenated_49640_vRhyme_bin_39.fasta,0.004775981730560266,4.69088685576158e-06,0.4585692554788701,CM
,394190,49617--k141_162699||full.fasta,0.014980352651742522,6.227851342761686e-05,0.4832083661884415,CM
,394190,concatenated_49640_vRhyme_bin_38.fasta,0.009766233100551214,1.0194234740575574e-05,0.46433218199938586,CM
,394190,49617--k141_194030||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,concatenated_49617_vRhyme_bin_285.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49640--k141_155711_1.fasta,0.009723240264156208,9.722214683961273e-06,0.4530145351968305,CM
,394190,49623--k141_9609||full.fasta,0.016516256053979748,4.501091573932359e-05,0.47711892586774696,CM
,394190,concatenated_49623_vRhyme_bin_209.fasta,0.010064394922760171,1.653637128413409e-05,0.4735822555810275,CM
,394190,49640--k141_109185||lt2gene.fasta,0.007187323999330235,3.548384703328881e-06,0.45002302384840326,CM
